ad_id	watch_id	skip_dur
WVgYOaERNj4	-faTXv3Frc0	7.6
9NPMkhwfvDY	5B_p_xms8yY	5.8
9NPMkhwfvDY	y4-rXVFBheA	6.7
0FVqEeHi5Jk	PPpo9OYKZq0	6.8
0FVqEeHi5Jk	zjCtHgNEcV0	6.0
WVgYOaERNj4	IzwxvhG15Jo	5.8
TOn04wCFXMA	KwS7BFZS9us	6.1
9NPMkhwfvDY	aO7Hr07OAG4	5.8
Gjav3WZFqXw	1DpFacZxzIw	6.4
IYrJ3ASs-es	mhKMx8WayT0	12.8
5uit9k0gRoE	fgqKpN87Z-k	9.4
9NPMkhwfvDY	bYOE4XnrNeo	5.6
WVgYOaERNj4	AVwcbBszKys	6.0
TOn04wCFXMA	y6Sxv-sUYtM	12.8
nf2Z7aCbpwo	ENgUPzrLyKo	6.6
5uit9k0gRoE	kEP55brO52U	52.1
y-8zugipO5E	PNu_-deVemE	6.2
IcEiuv83CE0	1T8nN6__E1c	7.2
WVgYOaERNj4	kmIAWwg9b-M	6.4
y-8zugipO5E	Y8DElqfs2NM	6.3
y-8zugipO5E	yxxN_xIOVas	6.1
TOn04wCFXMA	EwIcHJleS5A	6.0
JOPocePQVUA	nkiCJx9Mx1k	35.3
ae-6edG7uU4	m-qeAUVQqVU	5.8
UaPPRi0c-Fo	TyCWWx8Q2l8	6.8
Gjav3WZFqXw	ekzHIouo8Q4	nan
Jx9MFSYExK0	o31pmwWNUww	nan
5uit9k0gRoE	FLmDmVR0y8E	5.7
5uit9k0gRoE	szjQ0VOWl2E	5.6
vFJsz0pt8FI	7iF0Va8v5BM	7.0
smWs1u00dwM	NHxYhFfuAjc	6.5
5uit9k0gRoE	Lg8K7ge9sKo	6.4
p3UI4bwsuTI	m1HnHVZHAgA	5.6
0FVqEeHi5Jk	JmfE1IT7gK4	6.1
5uit9k0gRoE	MrhBuhbn3BE	7.4
y-8zugipO5E	Y_XgQHo9llQ	6.0
V95bqUKEDpc	Lzo9FuvVFqQ	19.7
pd6uHj8cgvA	JH5gJZ5DpH4	nan
ae-6edG7uU4	6CzfukEqoZ4	nan
iRHcYO9dBoI	447yaU_4DF8	5.6
m8bu92ZKvuE	LAl9nHy_dAU	6.3
qMCXAUfX8po	fJrRKL166_c	20.6
WVgYOaERNj4	igYkn1JGmVI	10.1
CVtEoswwv9c	OfAul2isPfo	6.0
TOn04wCFXMA	NAqj8R44y10	6.2
5uit9k0gRoE	AVwcbBszKys	5.9
9NPMkhwfvDY	u6kcNi4qDLk	20.4
9NPMkhwfvDY	U7jrp9rDSno	6.0
TOn04wCFXMA	deVyZFiuPPA	7.0
ae-6edG7uU4	0EWbonj7f18	5.7
l9MkjSMvVAQ	DlE3XQPHdzw	nan
6uFPMth3yBI	Kt1WuciuO0U	7.9
6uFPMth3yBI	jIL0ze6_GIY	5.8
9NPMkhwfvDY	o31pmwWNUww	24.2
